Depth,GR
-574.85393,130.9553
-575.46353,120.1691
-576.07314,131.0238
-576.68274,129.6212
-577.29234,127.5305
-577.90194,131.6192
-578.51154,127.6596
-579.12114,133.7166
-579.73074,127.7229
-580.34034,133.0345
-580.94995,130.5249
-581.55955,133.8215
-582.16915,140.8695
-582.77875,132.1783
-583.38835,135.9392
-583.99795,136.1863
-584.60755,129.8374
-585.21715,131.9435
-585.82675,134.4581
-586.43636,128.9607
-587.04596,104.3974
-587.65556,106.0909
-588.26516,117.5869
-588.87476,133.2955
-589.48436,136.5504
-590.09396,131.6167
-590.70356,126.4501
-591.31317,129.4649
-591.92277,123.0262
-592.53237,132.4267
-593.14197,127.7039
-593.75157,129.0797
-594.36117,124.3668
-594.97077,123.946
-595.58037,119.9135
-596.18998,131.918
-596.79958,128.679
-597.40918,117.3317
-598.01878,72.2645
-598.62838,50.6939
-599.23798,58.5084
-599.84758,65.4457
-600.45718,65.7643
-601.06678,71.7929
-601.67639,74.2812
-602.28599,58.6845
-602.89559,58.8017
-603.50519,55.0597
-604.11479,49.4707
-604.72439,56.9061
-605.33399,46.3285
-605.94359,45.1399
-606.5532,53.597
-607.1628,68.9815
-607.7724,61.8616
-608.382,95.6735
-608.9916,88.2257
-609.6012,100.8848
-610.2108,76.1336
-610.8204,58.2982
-611.43001,52.1405
-612.03961,76.2781
-612.64921,126.5411
-613.25881,135.5577
-613.86841,116.8511
-614.47801,103.2986
-615.08761,125.1936
-615.69721,59.6826
-616.30681,50.3697
-616.91642,56.0093
-617.52602,48.9172
-618.13562,51.7203
-618.74522,56.3336
-619.35482,55.1101
-619.96442,59.4059
-620.57402,51.3343
-621.18362,75.0127
-621.79323,73.3333
-622.40283,95.7137
-623.01243,91.8281
-623.62203,79.809
-624.23163,70.1104
-624.84123,65.9952
-625.45083,51.4516
-626.06043,48.7771
-626.67004,68.4629
-627.27964,46.99
-627.88924,56.5864
-628.49884,65.7293
-629.10844,68.2052
-629.71804,57.0958
-630.32764,65.5349
-630.93724,85.8196
-631.54684,79.3431
-632.15645,54.5635
-632.76605,63.97
-633.37565,90.8812
-633.98525,58.8575
-634.59485,60.0889
-635.20445,48.6602
-635.81405,51.7729
-636.42365,53.7932
-637.03326,43.608
-637.64286,43.2558
-638.25246,58.5525
-638.86206,60.7594
-639.47166,57.955
-640.08126,48.5298
-640.69086,48.912
-641.30046,53.1847
-641.91007,64.6904
-642.51967,63.8906
-643.12927,81.8811
-643.73887,56.8023
-644.34847,57.1859
-644.95807,55.2561
-645.56767,65.6682
-646.17727,54.3214
-646.78687,66.4117
-647.39648,56.2736
-648.00608,62.2826
-648.61568,56.5563
-649.22528,58.1094
-649.83488,56.6307
-650.44448,71.5097
-651.05408,84.9772
-651.66368,56.6667
-652.27329,48.9778
-652.88289,60.1304
-653.49249,60.0154
-654.10209,49.4031
-654.71169,53.9973
-655.32129,74.0101
-655.93089,71.0312
-656.54049,65.0173
-657.1501,64.0941
-657.7597,75.5022
-658.3693,73.6736
-658.9789,59.0926
-659.5885,55.9031
-660.1981,62.1515
-660.8077,48.3472
-661.4173,43.3867
-662.0269,42.891
-662.63651,43.6549
-663.24611,42.5315
-663.85571,49.3605
-664.46531,69.0729
-665.07491,65.5988
-665.68451,77.0577
-666.29411,74.1671
-666.90371,68.3966
-667.51332,68.2889
-668.12292,59.7908
-668.73252,73.953
-669.34212,71.0842
-669.95172,55.9728
-670.56132,52.3487
-671.17092,49.9226
-671.78052,80.7808
-672.39013,61.4266
-672.99973,65.3952
-673.60933,53.0468
-674.21893,70.918
-674.82853,71.4229
-675.43813,58.1761
-676.04773,45.8825
-676.65733,71.0936
-677.26693,87.1492
-677.87654,81.8943
-678.48614,74.885
-679.09574,100.3279
-679.70534,75.342
-680.31494,78.8582
-680.92454,74.1443
-681.53414,64.8998
-682.14374,53.9355
-682.75335,59.6873
-683.36295,80.9114
-683.97255,84.062
-684.58215,84.6688
-685.19175,73.4117
-685.80135,73.7676
-686.41095,69.6696
-687.02055,75.7588
-687.63016,57.0121
-688.23976,53.2473
-688.84936,47.3785
-689.45896,51.8162
-690.06856,51.409
-690.67816,52.4528
-691.28776,55.0289
-691.89736,52.4901
-692.50696,47.5937
-693.11657,40.569
-693.72617,62.0087
-694.33577,94.0811
-694.94537,56.0629
-695.55497,49.0961
-696.16457,50.7825
-696.77417,50.3688
-697.38377,54.0944
-697.99338,61.9585
-698.60298,53.5217
-699.21258,64.8516
-699.82218,57.9691
-700.43178,65.0438
-701.04138,69.3348
-701.65098,68.9666
-702.26058,68.5283
-702.87019,60.0979
-703.47979,68.3446
-704.08939,79.5311
-704.69899,64.1809
-705.30859,58.8136
-705.91819,67.3389
-706.52779,65.6688
-707.13739,53.8521
-707.74699,50.5991
-708.3566,49.9686
-708.9662,49.1374
-709.5758,45.3745
-710.1854,66.0026
-710.795,65.0246
-711.4046,58.3268
-712.0142,70.7743
-712.6238,104.8115
-713.23341,77.0399
