Depth,GR
-729.6912,102.953
-730.758,106.8077
-731.8248,104.2826
-732.8916,101.7575
-733.9584,101.4208
-735.0252,101.0842
-736.092,100.7475
-737.1588,100.7475
-738.2256,100.7475
-739.2924,100.7475
-740.3592,90.7215
-741.426,96.4981
-742.4928,108.2785
-743.5596,105.9239
-744.6264,95.9216
-745.6932,103.0958
-746.76,115.4995
-747.8268,106.1848
-748.8936,117.6008
-749.9604,121.81
-751.0272,108.6057
-752.094,109.2134
-753.1608,108.0406
-754.2276,110.873
-755.2944,111.436
-756.3612,112.5681
-757.428,75.4032
-758.4948,118.795
-759.5616,116.265
-760.6284,110.3853
-761.6952,115.2588
-762.762,113.4113
-763.8288,121.8749
-764.8956,67.2308
-765.9624,80.5096
-767.0292,115.9906
-768.096,96.4515
-769.1628,100.0839
-770.2296,110.986
-771.2964,109.656
-772.3632,94.9698
-773.43,119.5528
-774.4968,113.311
-775.5636,104.6913
-776.6304,86.4491
-777.6972,89.3292
-778.764,121.1414
-779.8308,121.6559
-780.8976,123.5432
-781.9644,121.0733
-783.0312,122.892
-784.098,119.4677
-785.1648,115.3721
-786.2316,104.8443
-787.2984,105.2291
-788.3652,82.4092
-789.432,106.7979
-790.4988,102.1327
-791.5656,119.386
-792.6324,98.8398
-793.6992,92.4933
-794.766,110.7569
-795.8328,107.6861
-796.8996,112.8905
-797.9664,108.5915
-799.0332,117.8796
-800.1,115.6091
-801.1668,123.3624
-802.2336,99.0821
-803.3004,115.6458
-804.3672,112.9411
-805.434,118.5285
-806.5008,118.7282
-807.5676,105.7044
-808.6344,108.2995
-809.7012,114.5741
-810.768,123.2257
-811.8348,121.0539
-812.9016,114.7688
-813.9684,106.1624
-815.0352,124.5746
-816.102,117.8111
-817.1688,77.5299
-818.2356,108.2096
-819.3024,105.4214
-820.3692,68.4696
-821.436,107.3698
-822.5028,104.5541
-823.5696,121.4813
-824.6364,129.5762
-825.7032,119.287
-826.77,121.4647
-827.8368,122.7388
-828.9036,101.4929
-829.9704,119.227
-831.0372,96.3037
-832.104,83.0889
-833.1708,99.0377
-834.2376,118.698
-835.3044,112.4929
-836.3712,116.1307
-837.438,122.9279
-838.5048,107.047
-839.5716,108.6886
-840.6384,124.2566
-841.7052,122.6385
-842.772,113.7621
-843.8388,105.9426
-844.9056,119.8252
-845.9724,119.4691
-847.0392,131.2523
-848.106,113.6592
-849.1728,107.9509
-850.2396,75.4971
-851.3064,127.5187
-852.3732,113.5179
-853.44,119.7226
-854.5068,112.8994
-855.5736,115.9817
-856.6404,107.1355
-857.7072,125.8637
-858.774,104.9796
-859.8408,115.0909
-860.9076,125.8611
-861.9744,108.2103
-863.0412,111.528
-864.108,113.9738
-865.1748,120.9496
-866.2416,121.0346
-867.3084,110.9876
-868.3752,95.6397
-869.442,85.6213
-870.5088,118.9655
-871.5756,119.3543
-872.6424,112.5335
-873.7092,119.5039
-874.776,129.9438
-875.8428,128.045
-876.9096,119.2323
-877.9764,120.9357
-879.0432,111.8928
-880.11,104.304
-881.1768,94.9454
-882.2436,99.1078
-883.3104,103.9368
-884.3772,106.328
-885.444,99.2231
-886.5108,87.3355
-887.5776,91.5511
-888.6444,116.4032
-889.7112,119.6166
-890.778,120.1505
-891.8448,119.4182
-892.9116,109.3813
-893.9784,79.8808
-895.0452,79.5317
-896.112,122.1378
-897.1788,117.5379
-898.2456,120.4376
-899.3124,120.4687
-900.3792,95.4039
-901.446,114.9793
-902.5128,122.0853
-903.5796,105.594
-904.6464,111.3062
-905.7132,120.0358
-906.78,110.5536
-907.8468,130.0622
-908.9136,110.4268
-909.9804,119.5016
-911.0472,112.0912
-912.114,108.2544
-913.1808,121.1667
-914.2476,109.3949
-915.3144,104.6491
-916.3812,79.3351
-917.448,78.1276
-918.5148,95.0581
-919.5816,106.4295
-920.6484,118.2842
-921.7152,120.5514
-922.782,117.6212
-923.8488,127.2782
-924.9156,102.5964
-925.9824,115.4466
-927.0492,121.1282
-928.116,119.0405
-929.1828,105.8012
-930.2496,116.3293
-931.3164,118.0067
-932.3832,112.0041
-933.45,114.1731
-934.5168,116.9488
-935.5836,117.1333
-936.6504,119.819
-937.7172,114.0933
-938.784,113.8383
-939.8508,120.7949
-940.9176,119.8442
-941.9844,113.141
-943.0512,106.0843
-944.118,113.5998
-945.1848,107.2921
-946.2516,117.5225
-947.3184,106.56
-948.3852,122.8597
-949.452,114.4299
-950.5188,114.9229
-951.5856,121.2092
-952.6524,119.5655
-953.7192,126.8199
-954.786,120.5661
-955.8528,117.8317
-956.9196,120.7669
-957.9864,120.5891
-959.0532,98.1041
-960.12,113.5629
-961.1868,142.6157
-962.2536,103.2286
-963.3204,65.6041
-964.3872,120.0081
-965.454,109.6579
-966.5208,113.4855
-967.5876,82.9062
-968.6544,117.5477
-969.7212,119.3692
-970.788,129.956
-971.8548,118.7201
-972.9216,119.6489
-973.9884,101.8323
-975.0552,76.1853
-976.122,119.7311
-977.1888,105.8426
-978.2556,123.7522
-979.3224,115.6258
-980.3892,116.2838
-981.456,113.9712
-982.5228,130.6035
-983.5896,104.8189
-984.6564,87.935
-985.7232,78.042
-986.79,72.209
-987.8568,121.8858
-988.9236,119.6016
-989.9904,120.2956
-991.0572,103.1096
-992.124,88.9431
-993.1908,118.5113
-994.2576,124.4966
-995.3244,105.6749
-996.3912,109.4488
-997.458,122.0567
-998.5248,124.7475
-999.5916,123.3882
-1000.6584,106.8248
-1001.7252,121.4034
-1002.792,118.3292
-1003.8588,125.8874
-1004.9256,130.7997
-1005.9924,134.4461
-1007.0592,117.1072
-1008.126,111.9763
-1009.1928,123.4723
-1010.2596,116.4086
-1011.3264,121.7457
-1012.3932,111.771
-1013.46,127.8233
-1014.5268,127.9557
-1015.5936,127.9037
-1016.6604,124.545
-1017.7272,110.0588
-1018.794,134.8633
-1019.8608,125.3826
-1020.9276,125.7853
-1021.9944,91.23
-1023.0612,90.33
